OMRÅDE;TID;CIVILSTAND;INDHOLD
Hele landet;2020K1;Ugift;2844060
Region Hovedstaden;2020K1;Ugift;973802
København;2020K1;Ugift;412512
Frederiksberg;2020K1;Ugift;60781
Dragør;2020K1;Ugift;5844
Tårnby;2020K1;Ugift;19947
Albertslund;2020K1;Ugift;13795
Ballerup;2020K1;Ugift;22371
Brøndby;2020K1;Ugift;16245
Gentofte;2020K1;Ugift;35130
Gladsaxe;2020K1;Ugift;34731
Glostrup;2020K1;Ugift;11193
Herlev;2020K1;Ugift;13767
Hvidovre;2020K1;Ugift;26533
Høje-Taastrup;2020K1;Ugift;23532
Ishøj;2020K1;Ugift;10808
Lyngby-Taarbæk;2020K1;Ugift;27810
Rødovre;2020K1;Ugift;20055
Vallensbæk;2020K1;Ugift;7354
Allerød;2020K1;Ugift;10586
Egedal;2020K1;Ugift;18274
Fredensborg;2020K1;Ugift;17135
Frederikssund;2020K1;Ugift;18530
Furesø;2020K1;Ugift;17443
Gribskov;2020K1;Ugift;15993
Halsnæs;2020K1;Ugift;12656
Helsingør;2020K1;Ugift;27077
Hillerød;2020K1;Ugift;23306
Hørsholm;2020K1;Ugift;9677
Rudersdal;2020K1;Ugift;24690
Bornholm;2020K1;Ugift;15996
Christiansø;2020K1;Ugift;31
Region Sjælland;2020K1;Ugift;368715
Greve;2020K1;Ugift;21016
Køge;2020K1;Ugift;27189
Lejre;2020K1;Ugift;11553
Roskilde;2020K1;Ugift;41111
Solrød;2020K1;Ugift;9955
Faxe;2020K1;Ugift;15575
Guldborgsund;2020K1;Ugift;25908
Holbæk;2020K1;Ugift;32235
Kalundborg;2020K1;Ugift;21163
Lolland;2020K1;Ugift;17132
Næstved;2020K1;Ugift;38119
Odsherred;2020K1;Ugift;13011
Ringsted;2020K1;Ugift;16052
Slagelse;2020K1;Ugift;37269
Sorø;2020K1;Ugift;13232
Stevns;2020K1;Ugift;9085
Vordingborg;2020K1;Ugift;19110
Region Syddanmark;2020K1;Ugift;568126
Assens;2020K1;Ugift;17711
Faaborg-Midtfyn;2020K1;Ugift;22004
Kerteminde;2020K1;Ugift;9789
Langeland;2020K1;Ugift;4583
Middelfart;2020K1;Ugift;16533
Nordfyns;2020K1;Ugift;12701
Nyborg;2020K1;Ugift;13803
Odense;2020K1;Ugift;112490
Svendborg;2020K1;Ugift;26178
Ærø;2020K1;Ugift;2174
Billund;2020K1;Ugift;11719
Esbjerg;2020K1;Ugift;55014
Fanø;2020K1;Ugift;1258
Fredericia;2020K1;Ugift;23719
Haderslev;2020K1;Ugift;24806
Kolding;2020K1;Ugift;44898
Sønderborg;2020K1;Ugift;32107
Tønder;2020K1;Ugift;15874
Varde;2020K1;Ugift;21766
Vejen;2020K1;Ugift;19285
Vejle;2020K1;Ugift;54448
Aabenraa;2020K1;Ugift;25266
Region Midtjylland;2020K1;Ugift;653428
Favrskov;2020K1;Ugift;21794
Hedensted;2020K1;Ugift;20301
Horsens;2020K1;Ugift;44353
Norddjurs;2020K1;Ugift;16360
Odder;2020K1;Ugift;9599
Randers;2020K1;Ugift;46936
Samsø;2020K1;Ugift;1281
Silkeborg;2020K1;Ugift;43672
Skanderborg;2020K1;Ugift;28692
Syddjurs;2020K1;Ugift;17996
Aarhus;2020K1;Ugift;208509
Herning;2020K1;Ugift;41719
Holstebro;2020K1;Ugift;27357
Ikast-Brande;2020K1;Ugift;18551
Lemvig;2020K1;Ugift;7900
Ringkøbing-Skjern;2020K1;Ugift;24254
Skive;2020K1;Ugift;20222
Struer;2020K1;Ugift;8562
Viborg;2020K1;Ugift;45370
Region Nordjylland;2020K1;Ugift;279989
Brønderslev;2020K1;Ugift;16246
Frederikshavn;2020K1;Ugift;24767
Hjørring;2020K1;Ugift;28574
Jammerbugt;2020K1;Ugift;16286
Læsø;2020K1;Ugift;593
Mariagerfjord;2020K1;Ugift;18168
Morsø;2020K1;Ugift;8740
Rebild;2020K1;Ugift;13553
Thisted;2020K1;Ugift;18696
Vesthimmerlands;2020K1;Ugift;16172
Aalborg;2020K1;Ugift;118194